zip,zip_code,mhi_avg,pmh_avg,hei_avg,pci_avg,mhi_avg1,sph_avg,is_avg,hsd_avg,bd_avg
92843,92843,22.37647059,13.10588235,76.83529412,23967.17647,73857.82353,21.33529412,38.36470588,69.71176471,18.78823529
92844,92844,36.53,12.91,77.95,25330.7,62138.0,26.32,39.09,73.13,23.48
92845,92845,9.333333333,11.65,17.76666667,42686.33333,104681.5,7.066666667,33.2,90.05,35.83333333
92861,92861,11.6,10.88,18.36,64459.0,138114.8,10.5,32.18,90.92,50.7
92865,92865,12.1,13.25,38.425,37539.0,95652.5,16.4375,34.2375,84.025,35.75
92866,92866,17.55,14.475,48.2,38463.25,79705.75,14.425,34.775,82.8,33.875
92867,92867,10.73529412,12.25294118,30.48235294,50274.88235,115663.9412,12.58823529,33.31764706,87.48823529,42.70588235
92868,92868,18.62857143,13.55714286,61.74285714,21482.42857,55056.42857,14.61428571,36.22857143,52.62857143,17.85714286
92869,92869,14.66,10.99,18.58,56951.8,136297.9,13.67,32.41,62.41,50.04
92870,92870,12.825,11.295,27.255,35565.45,91852.8,14.58,31.705,76.19,36.05
92886,92886,12.15,10.71875,7.43125,49814.9375,122603.6875,10.35,31.8875,83.4875,46.5625
92887,92887,5.714285714,10.5,8.457142857,59935.42857,137994.1429,7.7,32.28571429,95.71428571,56.27142857
